I1019 21:50:24.517382       1 request.go:589] Waited for 1.046152537s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/events.k8s.io/v1beta1?timeout=32s
I1019 21:50:25.566917       1 request.go:589] Waited for 2.095663395s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/network.azure.com/v1beta20201101?timeout=32s
I1019 21:50:26.567293       1 request.go:589] Waited for 3.095973733s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/cache.azure.com/v1alpha1api20210301storage?timeout=32s
I1019 21:50:27.617286       1 request.go:589] Waited for 4.145888995s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/servicebus.azure.com/v1beta20210101preview?timeout=32s
I1019 21:50:28.667121       1 request.go:589] Waited for 5.195654155s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/dbformysql.azure.com/v1alpha1api20210501storage?timeout=32s
I1019 21:50:30.216609       1 request.go:589] Waited for 1.038455744s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/cache.azure.com/v1alpha1api20210301?timeout=32s
I1019 21:50:31.216801       1 request.go:589] Waited for 2.038596315s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/coordination.k8s.io/v1?timeout=32s
I1019 21:50:32.216915       1 request.go:589] Waited for 3.038648993s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/snapshot.storage.k8s.io/v1beta1?timeout=32s
I1019 21:50:33.217448       1 request.go:589] Waited for 4.039064073s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/dbforpostgresql.azure.com/v1beta20210601?timeout=32s
I1019 21:50:34.267485       1 request.go:589] Waited for 5.089091069s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/containerregistry.azure.com/v1beta20210901storage?timeout=32s
I1019 21:50:35.316854       1 request.go:589] Waited for 6.138397261s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/keyvault.azure.com/v1beta20210401preview?timeout=32s
I1019 21:50:36.273576       1 logr.go:261] controller-runtime/metrics "msg"="Metrics server is starting to listen"  "addr"="0.0.0.0:8080"
I1019 21:50:36.274198       1 main.go:104] controllers "msg"="Configuration details"  "config"="SubscriptionID:d19dddf3-9520-4226-a313-ae8ee08675e5/PodNamespace:azureserviceoperator-system/OperatorMode:watchers-and-webhooks/TargetNamespaces:/SyncPeriod:15m0s/ResourceManagerEndpoint:https://management.azure.com/ResourceManagerAudience:https://management.core.windows.net//AzureAuthorityHost:https://login.microsoftonline.com/"
I1019 21:50:36.275381       1 generic_controller.go:111] controllers "msg"="Registering indexer for type"  "key"=".spec.osProfile.adminPassword" "type"="*v1beta20220301storage.VirtualMachine"
I1019 21:50:36.276300       1 generic_controller.go:111] controllers "msg"="Registering indexer for type"  "key"=".spec.virtualMachineProfile.osProfile.adminPassword" "type"="*v1beta20220301storage.VirtualMachineScaleSet"
I1019 21:50:36.276523       1 generic_controller.go:111] controllers "msg"="Registering indexer for type"  "key"=".spec.imageRegistryCredentials.password" "type"="*v1beta20211001storage.ContainerGroup"
I1019 21:50:36.276691       1 generic_controller.go:111] controllers "msg"="Registering indexer for type"  "key"=".spec.properties.serverPropertiesForDefaultCreate.administratorLoginPassword" "type"="*v1beta20180601storage.Server"
I1019 21:50:36.276850       1 generic_controller.go:111] controllers "msg"="Registering indexer for type"  "key"=".spec.administratorLoginPassword" "type"="*v1beta20210501storage.FlexibleServer"
I1019 21:50:36.276996       1 generic_controller.go:111] controllers "msg"="Registering indexer for type"  "key"=".spec.administratorLoginPassword" "type"="*v1beta20210601storage.FlexibleServer"
I1019 21:50:36.277142       1 generic_controller.go:111] controllers "msg"="Registering indexer for type"  "key"=".spec.properties.amlCompute.properties.userAccountCredentials.adminUserPassword" "type"="*v1beta20210701storage.WorkspacesCompute"
I1019 21:50:36.277231       1 generic_controller.go:111] controllers "msg"="Registering indexer for type"  "key"=".spec.properties.amlCompute.properties.userAccountCredentials.adminUserSshPublicKey" "type"="*v1beta20210701storage.WorkspacesCompute"
I1019 21:50:36.277250       1 generic_controller.go:111] controllers "msg"="Registering indexer for type"  "key"=".spec.properties.hdInsight.properties.administratorAccount.password" "type"="*v1beta20210701storage.WorkspacesCompute"
I1019 21:50:36.277263       1 generic_controller.go:111] controllers "msg"="Registering indexer for type"  "key"=".spec.properties.virtualMachine.properties.administratorAccount.password" "type"="*v1beta20210701storage.WorkspacesCompute"
I1019 21:50:36.277281       1 generic_controller.go:111] controllers "msg"="Registering indexer for type"  "key"=".metadata.ownerReferences[0]" "type"="*v1beta20201101storage.RouteTablesRoute"
I1019 21:50:36.277380       1 generic_controller.go:111] controllers "msg"="Registering indexer for type"  "key"=".metadata.ownerReferences[0]" "type"="*v1beta20201101storage.VirtualNetworksSubnet"
I1019 21:50:36.277473       1 generic_controller.go:111] controllers "msg"="Registering indexer for type"  "key"=".spec.localUser.password" "type"="*v1beta1.User"
I1019 21:50:36.277579       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"authorization.azure.com","Version":"v1beta20200801previewstorage","Kind":"RoleAssignment"}
I1019 21:50:36.277649       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"batch.azure.com","Version":"v1beta20210101storage","Kind":"BatchAccount"}
I1019 21:50:36.277683       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"cache.azure.com","Version":"v1beta20201201storage","Kind":"Redis"}
I1019 21:50:36.277713       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"cache.azure.com","Version":"v1beta20201201storage","Kind":"RedisFirewallRule"}
I1019 21:50:36.277739       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"cache.azure.com","Version":"v1beta20201201storage","Kind":"RedisLinkedServer"}
I1019 21:50:36.277765       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"cache.azure.com","Version":"v1beta20201201storage","Kind":"RedisPatchSchedule"}
I1019 21:50:36.277793       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"cache.azure.com","Version":"v1beta20210301storage","Kind":"RedisEnterprise"}
I1019 21:50:36.277822       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"cache.azure.com","Version":"v1beta20210301storage","Kind":"RedisEnterpriseDatabase"}
I1019 21:50:36.277850       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"cdn.azure.com","Version":"v1beta20210601storage","Kind":"Profile"}
I1019 21:50:36.277876       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"cdn.azure.com","Version":"v1beta20210601storage","Kind":"ProfilesEndpoint"}
I1019 21:50:36.277901       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"compute.azure.com","Version":"v1beta20200930storage","Kind":"Disk"}
I1019 21:50:36.277928       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"compute.azure.com","Version":"v1beta20200930storage","Kind":"Snapshot"}
I1019 21:50:36.277954       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"compute.azure.com","Version":"v1beta20220301storage","Kind":"Image"}
I1019 21:50:36.277981       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"compute.azure.com","Version":"v1beta20220301storage","Kind":"VirtualMachine"}
I1019 21:50:36.278017       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"compute.azure.com","Version":"v1beta20220301storage","Kind":"VirtualMachineScaleSet"}
I1019 21:50:36.278048       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"containerinstance.azure.com","Version":"v1beta20211001storage","Kind":"ContainerGroup"}
I1019 21:50:36.278076       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"containerregistry.azure.com","Version":"v1beta20210901storage","Kind":"Registry"}
I1019 21:50:36.278102       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"containerservice.azure.com","Version":"v1beta20210501storage","Kind":"ManagedCluster"}
I1019 21:50:36.278132       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"containerservice.azure.com","Version":"v1beta20210501storage","Kind":"ManagedClustersAgentPool"}
I1019 21:50:36.278157       1 generic_controller.go:156] controllers "msg"="Registering"  "GVK"={"Group":"dbformariadb.azure.com","Version":"v1beta20180601storage","Kind":"Configuration"}
